, Município , Confirmados , Novos Confirmados , Incidência /100 mil hab , Óbitos , Novos Óbitos , Mortalidade /100 mil hab
, Porto Alegre , 2123 , 257 , 143.1 , 69 , 2 , 4.7
, Lajeado , 1585 , 3 , 1886.6 , 21 , 0 , 25.0
, Passo Fundo , 1557 , 44 , 766.0 , 41 , 1 , 20.2
, Bento Gonçalves , 945 , 33 , 784.5 , 28 , 2 , 23.2
, Caxias do Sul , 765 , 70 , 149.7 , 12 , 0 , 2.3
, São Leopoldo , 585 , 33 , 247.0 , 9 , 0 , 3.8
, Garibaldi , 544 , 3 , 1551.2 , 5 , 0 , 14.3
, Marau , 536 , 35 , 1213.7 , 9 , 0 , 20.4
, Santa Maria , 514 , 10 , 182.2 , 15 , 1 , 5.3
, Novo Hamburgo , 514 , 59 , 208.3 , 12 , 0 , 4.9
, Erechim , 471 , 16 , 444.9 , 3 , 0 , 2.8
, Nova Araçá , 436 , 2 , 9161.6 , 1 , 0 , 21.0
, Farroupilha , 413 , 5 , 571.0 , 5 , 0 , 6.9
, Canoas , 375 , 37 , 108.2 , 12 , 2 , 3.5
, Alvorada , 274 , 16 , 130.3 , 8 , 2 , 3.8
, Gravataí , 272 , 29 , 96.6 , 9 , 1 , 3.2
, Sapucaia do Sul , 265 , 12 , 187.8 , 10 , 0 , 7.1
, Cachoeirinha , 261 , 5 , 200.3 , 3 , 1 , 2.3
, Carlos Barbosa , 256 , 6 , 858.1 , 6 , 1 , 20.1
, Venâncio Aires , 250 , 5 , 349.4 , 7 , 0 , 9.8
, Teutônia , 242 , 10 , 728.2 , 0 , 0 , 0
, Pelotas , 215 , 11 , 62.8 , 2 , 0 , 0.6
, Estrela , 204 , 4 , 598.0 , 2 , 0 , 5.9
, São Gabriel , 190 , 38 , 305.9 , 8 , 0 , 12.9
, Três Passos , 188 , 0 , 786.4 , 2 , 0 , 8.4
, Serafina Corrêa , 169 , 2 , 965.6 , 1 , 0 , 5.7
, Rio Grande , 160 , 15 , 75.8 , 2 , 0 , 0.9
, Campo Bom , 153 , 25 , 229.3 , 5 , 0 , 7.5
, Palmeira das Missões , 151 , 15 , 453.4 , 4 , 0 , 12.0
, Santo Ângelo , 151 , 3 , 194.6 , 12 , 3 , 15.5
, Osório , 144 , 7 , 313.1 , 2 , 0 , 4.3
, Taquari , 143 , 1 , 532.4 , 2 , 0 , 7.4
, Esteio , 142 , 2 , 170.7 , 6 , 0 , 7.2
, Tapejara , 139 , 5 , 576.5 , 0 , 0 , 0
, Arroio do Meio , 139 , 0 , 668.1 , 0 , 0 , 0
, Santa Cruz do Sul , 130 , 0 , 99.7 , 1 , 0 , 0.8
, Viamão , 125 , 4 , 49.0 , 13 , 1 , 5.1
, Montenegro , 122 , 4 , 186.9 , 1 , 0 , 1.5
, Vacaria , 121 , 7 , 182.7 , 6 , 0 , 9.1
, Encantado , 121 , 3 , 532.9 , 4 , 0 , 17.6
, Caçapava do Sul , 116 , 3 , 345.0 , 2 , 0 , 5.9
, Nova Prata , 115 , 13 , 421.9 , 1 , 0 , 3.7
, Ijuí , 112 , 1 , 134.2 , 1 , 0 , 1.2
, Cruz Alta , 109 , 11 , 180.8 , 3 , 0 , 5.0
, Santana do Livramento , 106 , 4 , 137.6 , 2 , 0 , 2.6
, Cruzeiro do Sul , 101 , 0 , 817.9 , 3 , 0 , 24.3
, Bagé , 100 , 2 , 82.5 , 0 , 0 , 0
, Guaporé , 100 , 7 , 388.7 , 0 , 0 , 0
, Guaíba , 97 , 7 , 98.8 , 7 , 2 , 7.1
, Cachoeira do Sul , 93 , 8 , 113.1 , 0 , 0 , 0
, Frederico Westphalen , 81 , 8 , 258.7 , 2 , 0 , 6.4
, Formigueiro , 79 , 0 , 1185.5 , 0 , 0 , 0
, Nonoai , 77 , 4 , 658.4 , 2 , 0 , 17.1
, Carazinho , 76 , 1 , 122.4 , 0 , 0 , 0
, Santiago , 75 , 12 , 151.7 , 0 , 0 , 0
, Bom Retiro do Sul , 75 , 0 , 608.4 , 1 , 0 , 8.1
, Veranópolis , 72 , 5 , 274.4 , 0 , 0 , 0
, Santa Rosa , 69 , 4 , 94.2 , 2 , 0 , 2.7
, Uruguaiana , 69 , 0 , 54.3 , 0 , 0 , 0
, Flores da Cunha , 66 , 6 , 214.7 , 1 , 0 , 3.3
, Trindade do Sul , 63 , 0 , 1085.8 , 2 , 0 , 34.5
, Torres , 62 , 6 , 160.1 , 1 , 0 , 2.6
, Bom Princípio , 59 , 0 , 419.8 , 0 , 0 , 0
, Sarandi , 57 , 0 , 232.8 , 1 , 0 , 4.1
, Barão de Cotegipe , 53 , 3 , 800.2 , 1 , 0 , 15.1
, São Sebastião do Caí , 53 , 6 , 206.3 , 1 , 0 , 3.9
, Triunfo , 52 , 0 , 176.0 , 1 , 0 , 3.4
, Capão da Canoa , 51 , 8 , 96.1 , 2 , 0 , 3.8
, Tramandaí , 50 , 6 , 96.7 , 3 , 0 , 5.8
, Poço das Antas , 49 , 0 , 2335.6 , 0 , 0 , 0
, Nova Bassano , 49 , 6 , 494.2 , 0 , 0 , 0
, Ibirubá , 48 , 2 , 235.9 , 2 , 0 , 9.8
, Bom Jesus , 48 , 1 , 422.9 , 0 , 0 , 0
, Sapiranga , 47 , 1 , 57.5 , 1 , 0 , 1.2
, Portão , 47 , 5 , 126.8 , 1 , 0 , 2.7
, Estância Velha , 46 , 0 , 92.0 , 0 , 0 , 0
, Paverama , 46 , 0 , 542.0 , 3 , 0 , 35.3
, São Sepé , 46 , 0 , 194.7 , 1 , 0 , 4.2
, Eldorado do Sul , 44 , 11 , 106.6 , 1 , 0 , 2.4
, São Marcos , 42 , 4 , 194.8 , 0 , 0 , 0
, Não-Me-Toque , 41 , 0 , 232.6 , 1 , 0 , 5.7
, Soledade , 41 , 2 , 132.2 , 1 , 0 , 3.2
, Westfalia , 41 , 0 , 1360.3 , 0 , 0 , 0
, Três Cachoeiras , 41 , 1 , 370.9 , 1 , 0 , 9.0
, Planalto , 39 , 1 , 386.8 , 1 , 0 , 9.9
, Ivoti , 38 , 4 , 156.4 , 1 , 0 , 4.1
, Camaquã , 38 , 2 , 57.3 , 3 , 0 , 4.5
, Lagoa Vermelha , 37 , 2 , 133.1 , 1 , 0 , 3.6
, Saldanha Marinho , 37 , 2 , 1396.2 , 4 , 0 , 150.9
, São Borja , 35 , 0 , 58.1 , 2 , 0 , 3.3
, Santo Antônio da Patrulha , 34 , 4 , 79.3 , 1 , 0 , 2.3
, Alegrete , 34 , 1 , 46.2 , 5 , 0 , 6.8
, Três Palmeiras , 34 , 1 , 796.1 , 0 , 0 , 0
, Charqueadas , 33 , 0 , 80.9 , 1 , 0 , 2.5
, Sananduva , 32 , 0 , 196.7 , 0 , 0 , 0
, São Jerônimo , 32 , 2 , 132.0 , 1 , 1 , 4.1
, Canguçu , 31 , 0 , 55.3 , 2 , 0 , 3.6
, Ronda Alta , 31 , 3 , 292.4 , 0 , 0 , 0
, Sertão , 31 , 1 , 572.5 , 1 , 0 , 18.5
, Porto Xavier , 30 , 0 , 292.8 , 0 , 0 , 0
, Constantina , 30 , 0 , 302.7 , 1 , 0 , 10.1
, Cidreira , 29 , 0 , 178.4 , 1 , 0 , 6.2
, Roca Sales , 29 , 1 , 254.5 , 2 , 0 , 17.6
, Ibirapuitã , 27 , 2 , 672.8 , 2 , 0 , 49.8
, Gaurama , 27 , 0 , 487.9 , 0 , 0 , 0
, General Câmara , 27 , 0 , 322.0 , 1 , 0 , 11.9
, Vila Maria , 27 , 1 , 619.6 , 1 , 0 , 22.9
, Coxilha , 27 , 0 , 979.7 , 1 , 0 , 36.3
, Gramado dos Loureiros , 27 , 2 , 1296.8 , 0 , 0 , 0
, Panambi , 26 , 1 , 59.5 , 0 , 0 , 0
, Paraí , 25 , 7 , 326.5 , 0 , 0 , 0
